Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
77,Jordan Beck,24,COL,NL,0.9,148,588,539,62,139,27,5,16,53,19,8,43,174,0.258,0.317,0.416,0.732,94,0.327,94,224,9,4,0,1,0,*7H/D8,,beckjo01
78,Ernie Clement,29,TOR,AL,4.3,157,588,545,83,151,35,2,9,50,6,5,27,61,0.277,0.313,0.398,0.711,95,0.306,91,217,13,4,7,5,1,5463H,,clemeer01
79,Ceddanne Rafaela,24,BOS,AL,4.7,156,587,546,84,136,34,4,16,63,20,5,28,117,0.249,0.295,0.414,0.708,95,0.309,92,226,9,8,3,2,0,*84/H,GG,rafaece01
80,George Springer,35,TOR,AL,4.8,140,586,498,106,154,27,1,32,84,18,1,69,111,0.309,0.399,0.56,0.959,161,0.414,165,279,14,8,0,4,3,D978/H,,springe01
81,Ryan McMahon*,30,2TM,2LG,2.3,154,586,509,62,109,23,1,20,53,3,1,70,189,0.214,0.312,0.381,0.693,87,0.305,83,194,7,4,0,3,1,*5/HD,,mcmahry01
81,Ryan McMahon*,30,COL,NL,1.2,100,401,350,42,76,15,1,16,35,2,1,49,127,0.217,0.314,0.403,0.717,90,0.314,86,141,4,1,0,1,1,5/HD,,mcmahry01
81,Ryan McMahon*,30,NYY,AL,1.1,54,185,159,20,33,8,0,4,18,1,0,21,62,0.208,0.308,0.333,0.641,81,0.287,79,53,3,3,0,2,0,5/H,,mcmahry01
82,Agustín Ramírez,23,MIA,NL,-0.4,136,585,537,72,124,33,1,21,67,16,3,36,113,0.231,0.287,0.413,0.701,92,0.31,89,222,13,8,0,4,2,2D/H,,ramirag01
83,Carlos Correa,30,2TM,AL,1.5,144,584,537,63,148,29,0,13,52,0,0,45,113,0.276,0.332,0.402,0.734,103,0.323,103,216,19,1,0,1,0,65/H,,correca01
83,Carlos Correa,30,MIN,AL,0.1,93,364,337,40,90,19,0,7,31,0,0,26,68,0.267,0.319,0.386,0.704,94,0.308,91,130,12,0,0,1,0,6/H,,correca01
83,Carlos Correa,30,HOU,AL,1.3,51,220,200,23,58,10,0,6,21,0,0,19,45,0.29,0.355,0.43,0.785,117,0.349,123,86,7,1,0,0,0,6-May,,correca01
84,Lars Nootbaar*,27,STL,NL,1.3,135,583,509,68,119,24,1,13,48,4,5,64,119,0.234,0.325,0.361,0.686,95,0.303,94,184,4,6,1,3,3,*798/HD,,nootbla01
85,Trent Grisham*,28,NYY,AL,3.5,143,581,494,87,116,9,1,34,74,3,2,82,137,0.235,0.348,0.464,0.811,125,0.363,135,229,7,4,0,1,0,*8/H,,grishtr01
86,Bryce Harper*,32,PHI,NL,3.1,132,580,501,72,131,32,0,27,75,12,2,70,121,0.261,0.357,0.487,0.844,129,0.367,127,244,5,6,0,3,6,*3/D,,harpebr03
87,Hunter Goodman,25,COL,NL,3.7,144,579,540,73,150,28,5,31,91,1,2,33,152,0.278,0.323,0.52,0.843,120,0.367,124,281,16,4,0,2,0,2D/H,AS,goodmhu01
88,Matt McLain,25,CIN,NL,0,147,577,510,73,112,18,0,15,50,18,2,55,167,0.22,0.3,0.343,0.643,74,0.297,73,175,8,5,3,4,0,*4/6HD,,mclaima01
89,Jo Adell,26,LAA,AL,1.2,152,573,526,63,124,18,1,37,98,5,1,33,151,0.236,0.293,0.485,0.778,111,0.335,112,255,10,10,0,1,0,*89/HD,,adelljo01
90,Wyatt Langford,23,TEX,AL,5.6,134,573,489,73,118,25,1,22,62,22,6,74,151,0.241,0.344,0.431,0.775,127,0.342,130,211,9,5,0,5,3,*78/H,,langfwy01
91,Ke'Bryan Hayes,28,2TM,NL,1.5,152,570,527,50,124,16,3,5,49,12,3,36,111,0.235,0.29,0.306,0.595,65,0.275,64,161,12,5,1,1,1,*5/H,GG,hayeske01
91,Ke'Bryan Hayes,28,PIT,NL,1.2,100,392,369,34,87,10,2,2,36,10,2,18,81,0.236,0.279,0.29,0.569,59,0.264,58,107,8,4,1,0,1,5/H,,hayeske01
91,Ke'Bryan Hayes,28,CIN,NL,0.3,52,178,158,16,37,6,1,3,13,2,1,18,30,0.234,0.315,0.342,0.656,78,0.299,79,54,4,1,0,1,0,5,,hayeske01
92,Miguel Vargas,25,CHW,AL,1.9,138,569,504,80,118,32,2,16,60,6,0,56,100,0.234,0.316,0.401,0.717,100,0.315,98,202,9,6,0,3,0,53/DH7,,vargami01
93,Spencer Steer,27,CIN,NL,0.7,146,568,509,66,121,21,2,21,75,7,1,51,129,0.238,0.312,0.411,0.723,94,0.321,93,209,12,5,1,2,0,*3D7/H9,,steersp01
94,Yainer Diaz,26,HOU,AL,2.7,143,567,542,56,139,25,1,20,70,1,1,20,95,0.256,0.284,0.417,0.701,92,0.309,94,226,13,2,0,3,2,*2D/H,,diazya02
95,Jonathan India,28,KCR,AL,0.4,136,567,497,63,116,29,0,9,45,0,4,54,106,0.233,0.323,0.346,0.669,89,0.299,91,172,9,13,1,2,0,4D75/H,,indiajo01
96,Trevor Larnach*,28,MIN,AL,0.1,142,567,503,62,126,24,1,17,60,4,4,53,122,0.25,0.323,0.404,0.727,99,0.323,103,203,19,4,0,6,2,D97H,,larnatr01
97,Nolan Schanuel*,23,LAA,AL,1.3,132,564,488,64,129,23,1,12,53,5,1,59,71,0.264,0.353,0.389,0.742,107,0.329,108,190,10,10,3,4,4,*3,,schanno01
98,Willson Contreras,33,STL,NL,2.5,135,563,490,70,126,31,1,20,80,5,1,44,142,0.257,0.344,0.447,0.791,123,0.349,123,219,15,23,1,4,1,*3D,,contrwi01
99,Josh Smith*,27,TEX,AL,3,144,563,495,70,124,23,2,10,35,12,3,55,100,0.251,0.335,0.366,0.7,107,0.318,113,181,3,8,3,1,2,653HD/7948,,smithjo11
100,Bryson Stott*,27,PHI,NL,2.2,147,560,499,66,128,22,3,13,66,24,5,54,91,0.257,0.328,0.391,0.719,96,0.324,95,195,4,1,2,4,1,*46H,,stottbr01
101,Mike Yastrzemski*,34,2TM,2LG,2.8,146,558,477,68,111,28,1,17,46,7,2,72,108,0.233,0.333,0.403,0.735,109,0.328,111,192,7,2,2,5,4,*9H8/7D1,,yastrmi01
101,Mike Yastrzemski*,34,SFG,NL,1.8,96,372,321,38,74,14,1,8,28,6,2,47,86,0.231,0.33,0.355,0.685,97,0.314,102,114,4,1,2,1,4,9/H1,,yastrmi01
101,Mike Yastrzemski*,34,KCR,AL,1,50,186,156,30,37,14,0,9,18,1,0,25,22,0.237,0.339,0.5,0.839,131,0.354,128,78,3,1,0,4,0,98/7HD,,yastrmi01
102,Ketel Marte#,31,ARI,NL,4.4,126,556,480,87,136,28,0,28,72,4,2,64,83,0.283,0.376,0.517,0.893,145,0.381,142,248,12,9,0,3,6,4D/H,AS,marteke01
103,Mike Trout,33,LAA,AL,1.5,130,556,456,73,106,14,1,26,64,2,0,87,178,0.232,0.359,0.439,0.797,121,0.341,117,200,7,6,0,6,10,D9/H,,troutmi01
104,Zach Neto,24,LAA,AL,5.1,128,554,502,82,129,29,1,26,62,26,9,33,149,0.257,0.319,0.474,0.793,117,0.341,115,238,5,14,2,3,6,*6/H,,netoza01
105,Brandon Lowe*,30,TBR,AL,1.9,134,553,507,79,130,19,0,31,83,3,2,38,149,0.256,0.307,0.477,0.785,116,0.337,117,242,6,2,0,6,1,*4/DH3,AS,lowebr01
106,Xander Bogaerts,32,SDP,NL,2,136,552,491,63,129,30,0,11,53,20,2,48,94,0.263,0.328,0.391,0.72,99,0.32,94,192,12,4,1,8,3,*6/DH,,bogaexa01
107,Andrew McCutchen,38,PIT,NL,0.1,135,551,477,51,114,22,0,13,57,1,1,67,118,0.239,0.333,0.367,0.7,95,0.311,94,175,12,2,0,3,5,*D/H97,,mccutan01
108,J.T. Realmuto,34,PHI,NL,2.5,134,550,502,57,129,26,1,12,52,8,2,35,129,0.257,0.315,0.384,0.7,91,0.312,89,193,13,9,0,3,1,*2/DH,,realmjt01
109,Adolis García,32,TEX,AL,2.7,135,547,507,58,115,28,0,19,75,13,4,28,135,0.227,0.271,0.394,0.665,93,0.291,94,200,9,5,0,7,1,*9/DH,,garciad02
